ProductName, Price, Ratings 
Acer Aspire Lite  AMD Ryzen 3 7330U Processor  16 GB RAM  512GB SSD  Full HD  15.6"/39.62cm  Windows 11 Home  Steel Gray  1.59KG  AL15-41  Metal Body  Premium Thin and Light Laptop,64 990,1 401
Acer[SmartChoice Aspire Lite 12thGen Intel Core i5-12450H Premium Laptop(Win11Home/16GB RAM/512GB SSD/IntelUHD Graphics/MSO)AL15-52H  39.62cm(15.6") FHD IPS Display Backlit Keyboard Pure Silver  1.7KG,77 490,430
HP 15  AMD Ryzen 3 7320U (8GB LPDDR5  512GB SSD) FHD  Anti-Glare  Micro-Edge  15.6"/39.6cm  Win 11  Office 21  Silver  1.59kg  fc0154AU  AMD Radeon Graphics  1080p FHD Camera Laptop,57 828,1 739
Dell Inspiron 3535  AMD Ryzen 5-7530U  16 GB RAM  512 GB SSD  FHD IPS 15.6"/39.62 cm  120Hz  Windows 11  MS Office 2024  Platinum Silver  1.67 kg  Thin & Light Laptop,30 490,35
HP Pavilion x360  13th Gen Intel Core i5-1335U (16GB DDR4  512GB SSD) Touchscreen  14"/35.6cm  FHD  Win 11  Office 21  Silver  1.51kg  ek1074tu/1148tu  Iris Xe  FPR  5MP Camera  Backlit KB Laptop,43 990,202
Acer[SmartChoice Aspire Lite 12thGen Intel Core i5-12450H Premium Laptop(Win11Home/16GB RAM/512GB SSD/IntelUHD Graphics/MSO)AL15-52H  39.62cm(15.6") FHD IPS Display Backlit Keyboard Pure Silver  1.7KG,30 280,430
Acer Aspire 3  13th Gen  Intel Core i5-1334U Processor Laptop with 35.56 cm (14") FHD LED-Backlit IPS Display (16GB RAM/512GB SSD/Intel Graphics/Win11Home) A324-53 Backlit Keyboard Steel Gray 1.45KG,42 840,60
ASUS Vivobook 15 13th Gen Intel Core i5-1335U Thin & Light (Intel Iris Xáµ‰ iGPU/16GB RAM/512GB SSD/FHD/15.6"/60Hz/Backlit Keyboard/42WHrs/Windows 11/Office 2021/Cool Silver/1.70 kg) X1504VA-NJ540WS,68 025,30
Acer Aspire 3 Intel Core i3-1215U Processor Laptop with 35.56 cm (14") Full HD LED-Backlit IPS Display (16 GB RAM/512 GB SSD/WiFi 6/Intel Graphics/Win11 Home/65W) A324-51  Steel Gray  1.45KG,43 990,52
,42 980,
ASUS TUF Gaming A15  AMD Ryzen 7 7435HS Gaming Laptop(NVIDIA RTX 3050-4GB/60W TGP/16GB RAM/512GB SSD/FHD/15.6"/144Hz/RGB KB/48WHr/Windows 11//Graphite Black/2.30 Kg) FA506NCR-HN054W,47 990,331
Dell G-series-15-5530-laptop - 15.6-inch FHD  Intel Core i5-13450HX  16GB DDR5 RAM  1TB SSD  NVIDIA GeForce RTX 3050  Orange Backlit Keyboard & G-Key  Windows 11 Home  Dark Shadow Gray  2.65 Kg,29 980,1 202
Acer [SmartChoice Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6") HD Display  Pure Silver  1.5 KG,,468
Acer Aspire Lite  AMD Ryzen 3 7330U Processor  8 GB RAM  512 GB SSD  Full HD  15.6"/39.62cm  Windows 11 Home  Steel Gray  1.6KG  AL15-41  Metal Body  Premium Thin and Light Laptop,63 990,1 401
HP Pavilion x360  13th Gen Intel Core i5-1335U (16GB DDR4  1TB SSD) FHD  14''/35.6 cm  Touchscreen 2-in-1  Win 11  Office 21  Silver  1.51 kg  ek1010TU/1149tu  FPR  5MP Camera  B&O  Backlit Laptop,76 962,202
Acer Aspire Lite  13th Gen  Intel Core i3-1305U  8GB RAM  512GB SSD  Full HD  15.6"/39.62cm  Windows 11 Home  Steel Gray  1.59KG  AL15-53  Metal Body  36 WHR  Thin and Light Premium Laptop,22 990,405
Acer Aspire 3 Intel Core i3-1215U Processor Laptop with 35.56 cm (14") Full HD LED-Backlit IPS Display (16 GB RAM/512 GB SSD/WiFi 6/Intel Graphics/Win11 Home/65W) A324-51  Steel Gray  1.45KG,28 990,52
Lenovo V15 G4 AMD Ryzen 5 7520U DOS 15.6 inch FHD Thin & Lite Laptop  AMD Graphics  16GB DDR5 5500Mhz Ram  512GB SSD Dolby Audio Premium Grey  1 Year Onsite Brand Warranty,73 490,135
Okami ZenPack LUXE Laptop Messenger Bag X Briefcase for Macbook & Laptops Upto 15.6" with USB Fast-Charging and RFID Safe Advanced Organiser | Premium Office Bag for Men (Black),32 993,219
HP 255 G10 Laptop (AMD Athlon Silver 7120U/ 8GB RAM / 256GB SSD/Windows 11/15.6 INCH ASH Silver,29 980,66
ASUS Vivobook Go 14  AMD Ryzen 5 7520U Thin & Light Laptop (AMD Radeon iGPU/16GB RAM/512GB SSD/FHD/14/60Hz/42WHrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Mixed Black/1.38 kg) E1404FA-NK5542WS,33 390,40
Acer [SmartChoice Aspire Lite AMD Ryzen 5-5625U Processor  16 GB/512 GB  Full HD  15.6"/39.62 cm  Windows 11 Home  Steel Gray  1.59 kg  AL15-41  Metal Body  Thin and Light Laptop,3 649,1 401
Acer Aspire Lite  13th Gen  Intel Core i3-1305U  8GB RAM  512GB SSD  Full HD  15.6"/39.62cm  Windows 11 Home  Steel Gray  1.59KG  AL15-53  Metal Body  36 WHR  Thin and Light Premium Laptop,22 357,405
Acer ALG  Intel Core i5 13th Gen - 13420H  NVIDIA GeForce RTX 3050-6GB  16GB RAM  512GB SSD  FHD 15.6"/39.62cm  144Hz  Windows 11 Home  Steel Gray  1.99kg  AL15G-53 Gaming Laptop,39 990,51
Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM  256GB SSD  Windows 11  1TB Expand  FHD IPS  Ultra Slim  USB3.0  Mini-HDMI  Webcam,34 490,3 314
Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg)  82UY0014HA,32 993,22
Acer Aspire 3  13th Gen  Intel Core i5-1334U Processor Laptop with 35.56 cm (14") FHD LED-Backlit IPS Display (16GB RAM/512GB SSD/Intel Graphics/Win11Home) A324-53 Backlit Keyboard Steel Gray 1.45KG,61 999,60
ASUS Vivobook 16X 13th Gen Intel Core i5-13420H Creator/Gaming Laptop(NVIDIA RTX 3050-4GB/16GB/512GB/FHD+/16.0"/144Hz/Windows 11/M365 Basic(1Year)*/Office Home 2024/Indie Black/1.67 kg)K3605VC-RP412WS,17 990,267
